UGL	Antarctica/South_Pole	Union Glacier Blue-Ice Runway
AIV	America/Chicago	George Downer
AIZ	America/Chicago	Lee C Fine Memorial
AKC	America/New_York	Fulton International
AKO	America/Denver	Colorado Plains Regional Airport
ALB	America/New_York	Albany International Airport
TDJ	Africa/Djibouti	Tadjoura
TDV	Indian/Antananarivo	Tanandava
ALI	America/Chicago	International
TDX	Asia/Bangkok	Trat Airport
GCD	America/Los_Angeles	Grand Coulee Dam
HLP	Asia/Jakarta	Halim Perdanakusuma Airport
HLR	America/Chicago	Fort Hood AAF
HLS	Australia/Hobart	St Helens
HLU	Pacific/Noumea	Houailou
HLV	Australia/Brisbane	Helenvale
HLY	Europe/London	Anglesey Airport
HLZ	Pacific/Auckland	Hamilton International Airport
HMA	Asia/Yekaterinburg	Khanty-Mansiysk Airport
HMB	Africa/Cairo	Mubarak International Airport
HME	Africa/Algiers	Oued Irara Airport
HMI	Asia/Shanghai	Hami Airport
HMJ	Europe/Kiev	Khmelnitskiy
HMN	America/Denver	Holloman AFB
HMO	America/Hermosillo	Gen Pesqueira Garcia Airport
HMR	Europe/Oslo	Hamar Airport
HMS	America/Juneau	Homeshore
HMT	America/Los_Angeles	Ryan Field
HMV	Europe/Stockholm	Hemavan Airport
IDP	America/Chicago	Independence
IDR	Asia/Kolkata	Devi Ahilya Bai Holkar Airport
AXB	America/New_York	Alexandria Bay
HMY	Asia/Seoul	Seosan Airport
HNA	Asia/Tokyo	Hanamaki Airport
HNB	America/Indiana/Vincennes	Municipal
HNC	America/New_York	Hatteras
HND	Asia/Tokyo	Haneda Airport
HNE	America/Anchorage	Tahneta Pass
HNG	Pacific/Noumea	Hienghene
HNL	Pacific/Honolulu	Honolulu International Airport
HNM	Pacific/Honolulu	Hana Airport
HNN	Pacific/Port_Moresby	Honinabi
HNY	Asia/Shanghai	Hengyang Nanyue Airport
HOA	Africa/Nairobi	Hola
HOB	America/Denver	Lea County Airport
HOC	Pacific/Port_Moresby	Komako
HOD	Asia/Aden	Hodeidah Airport
HOF	Asia/Riyadh	Al-Ahsa Airport
HOG	America/Havana	Frank Pais Airport
HOK	Australia/Darwin	Hooker Creek
HOL	America/Anchorage	Holikachu
IHA	Asia/Tokyo	Niihama
HON	America/Chicago	Howes
HOO	Asia/Ho_Chi_Minh	Nhon Co
HOP	America/Chicago	Campbell AAF
HOW	America/Panama	Howard AFB
HOY	Europe/London	Hoy Island
HPA	Pacific/Tongatapu	Salote Pilolevu
HPE	Australia/Brisbane	Hope Vale
HPG	Asia/Shanghai	Shennongjia Hongping Airport
HPH	Asia/Ho_Chi_Minh	Cat Bi International Airport
HPN	America/New_York	Westchester County Airport
HPT	America/Chicago	Municipal
HPV	Pacific/Honolulu	Princeville
HPY	America/Chicago	Baytown Airport
HQM	America/Los_Angeles	Bowerman
HRA	Asia/Karachi	Mansehra
HRC	Asia/Almaty	Zhairem
HRE	Africa/Harare	Harare International Airport
HRF	Indian/Maldives	Hoarafushi Airport
HRG	Africa/Cairo	Hurghada International Airport
HRM	Africa/Algiers	Tilrempt
HRN	Australia/Brisbane	Heliport
HRO	America/Chicago	Boone County Airport
IJK	Europe/Samara	Izhevsk Airport
HRS	Africa/Johannesburg	Harrismith Airport
HRT	Europe/London	Linton-On-Ouse
HRZ	America/Sao_Paulo	Horizontina
HSA	Asia/Almaty	Hazret Sultan International Airport
HSB	America/Chicago	Raleigh
HSG	Asia/Tokyo	Saga Airport
HSH	America/Los_Angeles	Henderson Executive
HSI	America/Chicago	Hastings
HSJ	Asia/Shanghai	Shangjie Airport
HSK	Europe/Madrid	Huesca-Pirineos
HSM	Australia/Melbourne	Horsham
HSN	Asia/Shanghai	Putuoshan Airport
HSP	America/New_York	Ingalls Field
HSS	Asia/Kolkata	Hissar
HST	America/New_York	AFB
HSV	America/Chicago	Huntsville International Airport
HSZ	Asia/Taipei	Hsinchu
HTA	Asia/Chita	Chita Airport
HTB	America/Guadeloupe	Terre-de-Bas
HTU	Australia/Melbourne	Hopetoun
HTY	Europe/Istanbul	Hatay Airport
HTZ	America/Bogota	Hato Corozal
HUA	America/Chicago	Redstone AAF
HUB	Australia/Darwin	Humbert River
HUC	America/Puerto_Rico	Humacao Airport
HUD	America/Chicago	Humboldt
HUE	Africa/Addis_Ababa	Humera Airport
HUF	America/Indiana/Indianapolis	Hulman Field
HUG	America/Guatemala	Huehuetenango
HUH	Pacific/Tahiti	Huahine Airport
HUI	Asia/Ho_Chi_Minh	Phu Bai International Airport
HUJ	America/Chicago	Hugo
HUK	Africa/Gaborone	Hukuntsi
HUL	America/New_York	International
HUM	America/Chicago	Terrebonne
HUO	Asia/Shanghai	Holingol Huolinhe Airport
TEC	America/Sao_Paulo	Telemaco Borba
HUQ	Africa/Tripoli	Houn
HUT	America/Chicago	Hutchinson
HUU	America/Lima	Huanuco Airport
HUV	Europe/Stockholm	Hudiksvall
HUX	America/Mexico_City	Huatulco Airport
HUY	Europe/London	Humberside Airport
HUZ	Asia/Shanghai	Huizhou Airport
HVB	Australia/Brisbane	Hervey Bay Airport
HVD	Asia/Hovd	Khovd Airport
HVE	America/Denver	Intermediate
HVG	Europe/Oslo	Valan Airport
HVK	Atlantic/Reykjavik	Holmavik
HVN	America/New_York	New Haven Airport
HVR	America/Denver	Havre City County Airport
HVS	America/New_York	Municipal
HWA	Pacific/Port_Moresby	Hawabango
HWI	America/Juneau	SPB
HWK	Australia/Adelaide	Wilpena Pound
HXX	Australia/Sydney	Hay
HYA	America/New_York	Barnstable Municipal Airport
HYC	Europe/London	High Wycombe
HYD	Asia/Kolkata	Rajiv Gandhi International Airport
HYL	America/Sitka	SPB
HYN	Asia/Shanghai	Luqiao Airport
ITQ	America/Sao_Paulo	Itaqui
HYR	America/Chicago	Municipal
HYS	America/Chicago	Hays Municipal Airport
HZA	America/Argentina/Buenos_Aires	Establecimiento El Araza Airport
HZG	Asia/Shanghai	Hanzhong Airport
HZH	Asia/Shanghai	Liping Airport
IAA	Asia/Krasnoyarsk	Igarka Airport
IAD	America/New_York	Washington Dulles International Airport
IAG	America/New_York	Niagara Falls International Airport
IAO	Asia/Manila	Sayak (Siargao)
IAQ	Asia/Tehran	Bahregan
IAR	Europe/Moscow	Tunoshna Airport
IAS	Europe/Bucharest	Iasi Airport
IAU	Pacific/Port_Moresby	Iaura
IBA	Africa/Lagos	Ibadan Airport
IBB	Pacific/Galapagos	General Villamil
IBE	America/Bogota	Ibague Airport
HGA	Africa/Mogadishu	Hargeisa Airport
IBI	Pacific/Port_Moresby	Iboki
IBL	Africa/Maputo	Indigo Bay Lodge
IBM	Australia/Perth	Iron Bridge Mine Airport
IBP	America/Lima	Iberia
IBR	Asia/Tokyo	Ibaraki Airport
IBZ	Europe/Madrid	Ibiza Airport
ICC	America/Caracas	Andrés Miguel Salazar Marcano Airport
ICK	America/Paramaribo	Nieuw Nickerie
ICL	America/Chicago	Municipal
ICO	Asia/Manila	Sicogon Island
ICR	America/Havana	Nicaro
ICS	America/Boise	Cascade
ICT	America/Chicago	Wichita Dwight D. Eisenhower National Airport
ICY	America/Anchorage	Icy Bay
IDA	America/Boise	Idaho Falls Regional Airport
JHY	America/New_York	Hyatt Regency Heliport
JIB	Africa/Djibouti	Djibouti-Ambouli International Airport
ALN	America/Chicago	Alton
IDC	Africa/Maputo	Ila Da Chilonzuene
IDF	Africa/Kinshasa	Idiofa
IDI	America/New_York	ndiana County Airport (Jimmy Stewart Field)
IDK	Australia/Adelaide	Indulkana
IDN	Pacific/Port_Moresby	Indagen
IDY	Europe/Paris	Ile d'Yeu
IEG	Europe/Warsaw	Zielona Gora-Babimost Airport
IEV	Europe/Kiev	Kyiv International Airport
IFA	America/Chicago	Iowa Falls
IFF	Australia/Brisbane	Iffley
IFH	Asia/Tehran	Hesa
IFJ	Atlantic/Reykjavik	Isafjordur Airport
IFL	Australia/Brisbane	Innisfail
IFN	Asia/Tehran	Isfahan International Airport
IFO	Europe/Kiev	Ivano-Frankovsk Airport
JNX	Europe/Athens	Naxos Airport
JNP	America/Los_Angeles	Heliport
IFP	America/Phoenix	Laughlin Bullhead International Airport
JOI	America/Sao_Paulo	Joinville-Lauro Carneiro de Loyola Airport
IFU	Indian/Maldives	Ifuru Airport
JOH	Africa/Johannesburg	Port Saint Johns
IGA	America/Nassau	Inagua Airport
IGB	America/Argentina/Salta	Ingeniero Jacobacci
IGD	Europe/Istanbul	Igdir
IGG	America/Anchorage	Igiugig Airport
JOR	America/Los_Angeles	The City Heliport
IGH	Australia/Brisbane	Ingham
JOT	America/Chicago	Municipal
IGL	Europe/Istanbul	Cigli AB
JPD	America/Los_Angeles	Heliport
JPN	America/New_York	Pentagon Army
JPR	America/Porto_Velho	Ji-Parana Airport
JPT	America/Chicago	Park Ten Heliport
JQE	America/Panama	Jaque Airport
JRC	America/Chicago	Municipalcipal Heliport
IGM	America/Phoenix	Kingman
IGN	Asia/Manila	Maria Cristina
IGO	America/Bogota	Chigorodo
IGS	Europe/Berlin	Ingolstadt-manching
JRK	America/Godthab	Arsuk
JOE	Europe/Helsinki	Joensuu Airport
JOG	Asia/Jakarta	Adisutjipto International Airport
JRT	America/Manaus	Juruti Airport
JSA	Asia/Kolkata	Jaisalmer
JSD	America/New_York	Sikorsky Heliport
JSG	America/Los_Angeles	San Rafael Heliport
JOK	Europe/Moscow	Yoshkar-Ola Airport
JOL	Asia/Manila	Jolo
JOM	Africa/Dar_es_Salaam	Njombe
JOS	Africa/Lagos	Jos Airport
JPA	America/Fortaleza	Presidente Castro Pinto International Airport
JRG	Asia/Kolkata	Jharsuguda Airport
JRH	Asia/Kolkata	Rowriah Airport
JRO	Africa/Dar_es_Salaam	Kilimanjaro International Airport
JRS	Asia/Jerusalem	Atarot
IGT	Europe/Moscow	Magas Airport
IGU	America/Sao_Paulo	Cataratas International Airport
IHC	Africa/Maputo	Inhaca
IHN	Asia/Aden	Qishn
IHO	Indian/Antananarivo	Ihosy
JSL	America/New_York	Steel Pier Heliport
IHR	Asia/Tehran	Iran Shahr
JSP	Asia/Seoul	Seogwipo Heliport
JSM	America/Argentina/Catamarca	Jose De San Martin
JTY	Europe/Athens	Astypalaia Airport
JSU	America/Godthab	Heliport
JSY	Europe/Athens	Syros Island Airport
JUR	Australia/Perth	Jurien Bay
JTI	America/Sao_Paulo	Jatai
JTO	America/Los_Angeles	Heliport
JTR	Europe/Athens	Santorini International Airport
IIL	Asia/Tehran	Ilaam Airport
JWA	Africa/Gaborone	Jwaneng
JUC	America/Los_Angeles	Universal City Heliport
JUH	Asia/Shanghai	Chizhou Jiuhuashan Airport
IJU	America/Sao_Paulo	J. Batista Bos Filho Airport
JUJ	America/Argentina/Jujuy	El Cadillal Airport
IJX	America/Chicago	Municipal
IKA	Asia/Tehran	Imam Khomeini International Airport
JUO	America/Bogota	Jurado
JUP	America/Los_Angeles	Cable Heliport
IKB	America/New_York	Wilkes County
JUT	America/Tegucigalpa	Juticalpa
JUZ	Asia/Shanghai	Quzhou Airport
JVL	America/Chicago	Rock County
IKI	Asia/Tokyo	Iki Airport
IKK	America/Chicago	Greater Kankakee
JWL	America/Chicago	Woodlawns
IKP	Australia/Brisbane	Inkerman
JXN	America/Detroit	Reynolds Municipal
IKS	Asia/Yakutsk	Tiksi Airport
IKT	Asia/Irkutsk	Irkutsk International Airport
IKU	Asia/Bishkek	Issyk-Kul International Airport
JSR	Asia/Dhaka	Jessore Airport
JST	America/New_York	Cambria County Airport
KAC	Asia/Damascus	Kameshly Airport
KAD	Africa/Lagos	Kaduna Airport
KUZ	Asia/Seoul	Gunsan Airbase
JTC	America/Sao_Paulo	Bauru-Arealva Airport
JUB	Africa/Juba	Juba International Airport
JUI	Europe/Berlin	Juist
JUL	America/Lima	Juliaca Airport
JUM	Asia/Kathmandu	Jumla
JWN	Asia/Tehran	Zanjan
JYR	Asia/Tehran	Jiroft
JYV	Europe/Helsinki	Jyvaskyla Airport
JZH	Asia/Shanghai	Jiuzhai Huanglong Airport
KAA	Africa/Lusaka	Kasama Airport
ILB	America/Campo_Grande	Ilha Solteira
KAJ	Europe/Helsinki	Kajaani Airport
KAM	Asia/Aden	Kamaran Island
KAN	Africa/Lagos	Mallam Aminu Kano International Airport
KAO	Europe/Helsinki	Kuusamo Airport
ILD	Europe/Madrid	Lleida-Alguaire Airport
KAT	Pacific/Auckland	Kaitaia
ILE	America/Chicago	Municipal
KAX	Australia/Perth	Kalbarri
KAZ	Asia/Jayapura	Kau
KBA	Africa/Freetown	Kabala
KBH	Asia/Karachi	Kalat
KBL	Asia/Kabul	Kabul International Airport
KBP	Europe/Kiev	Boryspil International Airport
KBI	Africa/Douala	Kribi
KBR	Asia/Kuala_Lumpur	Sultan Ismail Petra Airport
KBS	Africa/Freetown	Bo
KBV	Asia/Bangkok	Krabi Airport
KBN	Africa/Lubumbashi	Kabinda
KCF	Asia/Karachi	Kadanwari
KCH	Asia/Kuching	Kuching International Airport
KAS	Africa/Windhoek	Karasburg
KAU	Europe/Helsinki	Kauhava
ILG	America/New_York	Greater Wilmington
ILH	Europe/Berlin	Illis Airbase
KBU	Asia/Makassar	Gusti Syamsir Alam Airport
ILI	America/Anchorage	Iliamna Airport
ILK	Indian/Antananarivo	Ilaka
KBX	Asia/Jayapura	Kambuaya
ILL	America/Chicago	Willmar
KBZ	Pacific/Auckland	Kaikoura
KCA	Asia/Shanghai	Kuqa Airport
ILM	America/New_York	Wilmington International Airport
ILN	America/New_York	Clinton Field
ILO	Asia/Manila	Mandurriao Airport
ILP	Pacific/Noumea	Ile Des Pins Airport
ILQ	America/Lima	Ilo
ILR	Africa/Lagos	Ilorin International Airport
ILS	America/El_Salvador	Ilopango International Airport
ILU	Africa/Nairobi	Kilaguni
ILX	Pacific/Port_Moresby	Ileg
ILZ	Europe/Bratislava	Zilina
IMA	Pacific/Port_Moresby	Iamalele
IMD	Pacific/Port_Moresby	Imonda
IMF	Asia/Kolkata	Imphal Municipal Airport
IMG	Africa/Maputo	Inhaminga
IML	America/Denver	Imperial
IMM	America/New_York	Immokalee
IMO	Africa/Bangui	Zemio
IMP	America/Fortaleza	Imperatriz Airport
KCK	Asia/Irkutsk	Kirensk Airport
KCM	Europe/Istanbul	Kahramanmaras Airport
KCO	Europe/Istanbul	Cengiz Topel Airport
KCP	Europe/Kiev	Kamenets-podolskiy
KCU	Africa/Kampala	Masindi
KCZ	Asia/Tokyo	Kochi Ryoma Airport
ALO	America/Chicago	Waterloo Airport
IMT	America/Menominee	Ford Airport
KDH	Asia/Kabul	Kandahar Airport
KDM	Indian/Maldives	Kaadedhdhoo
INA	Europe/Moscow	Inta Airport
KDX	Africa/Khartoum	Kadugli
KDN	Africa/Libreville	Ndende
INB	America/Belize	Independence
KED	Africa/Nouakchott	Kaedi
KEF	Atlantic/Reykjavik	Keflavik International Airport
KDR	Pacific/Port_Moresby	Kandrian
KEH	America/Los_Angeles	Kenmore Air Harbor
KDT	Asia/Bangkok	Kamphangsaen
KDU	Asia/Karachi	Skardu Airport
KEJ	Asia/Novokuznetsk	Kemerovo Airport
KEL	Europe/Berlin	Kiel-Holtenau
KDY	Asia/Colombo	Mahaweli
KDZ	Asia/Colombo	Polgolla Reservoir Airport
KEM	Europe/Helsinki	Kemi/Tornio Airport
KDA	Africa/Dakar	Kolda
KEC	Africa/Lubumbashi	Kasenga
KDC	Africa/Porto-Novo	Kandi
KDD	Asia/Karachi	Khuzdar
KDL	Europe/Tallinn	Kardla Airport
KDO	Indian/Maldives	Kadhdhoo
KEN	Africa/Freetown	Kenema
INC	Asia/Shanghai	Yinchuan Hedong International Airport
IND	America/Indiana/Indianapolis	Indianapolis International Airport
INE	Africa/Maputo	Chinde
ING	America/Argentina/Rio_Gallegos	Lago Argentino
INH	Africa/Maputo	Inhambane Airport
INI	Europe/Belgrade	Nis Constantine the Great Airport
INJ	Australia/Brisbane	Injune
INK	America/Chicago	Wink
INL	America/Chicago	Falls International Airport
INN	Europe/Vienna	Innsbruck Airport
INO	Africa/Kinshasa	Inongo
INQ	Europe/Dublin	Inisheer
INT	America/New_York	Smith-Reynolds Airport
INU	Pacific/Nauru	Nauru International
INV	Europe/London	Inverness Airport
INW	America/Phoenix	Winslow-Lindbergh
KEO	Africa/Abidjan	Odienne
KEP	Asia/Kathmandu	Nepalganj Airport
KEQ	Asia/Jayapura	Kebar
KER	Asia/Tehran	Kerman Airport
KEV	Europe/Helsinki	Halli
KEY	Africa/Nairobi	Kericho
KEZ	Asia/Colombo	Kelaniya River
KGY	Australia/Brisbane	Kingaroy
KGA	Africa/Lubumbashi	Kananga
KHC	Europe/Simferopol	Kerch
INX	Asia/Jayapura	Inanwatan
INZ	Africa/Algiers	In Salah Airport
IOA	Europe/Athens	Ioannina Airport
IOK	Pacific/Port_Moresby	Iokea
IOM	Europe/Isle_of_Man	Isle of Man Airport
KGN	Africa/Kinshasa	Kasongo Lunda
ION	Africa/Brazzaville	Impfondo
KGP	Asia/Yekaterinburg	Kogalym International Airport
IOP	Pacific/Port_Moresby	Ioma
IOR	Europe/Dublin	Kilronan
IOS	America/Bahia	Ilheus/Bahia-Jorge Amado Airport
IOU	Pacific/Noumea	Ile Ouen
IOW	America/Chicago	Iowa City
IPC	Pacific/Easter	Mataveri International Airport
IPE	Asia/Manila	Ipil
IPG	America/Manaus	Ipiranga
KHA	Asia/Tehran	Khaneh
IPH	Asia/Kuala_Lumpur	Ipoh Airport
IPI	America/Bogota	San Luis Airport
KHE	Europe/Kiev	Kherson International Airport
KHG	Asia/Shanghai	Kashi Airport
KFS	Europe/Istanbul	Kastamonu Airport
KGD	Europe/Kaliningrad	Khrabrovo Airport
KGF	Asia/Almaty	Karaganda Airport
KGG	Africa/Dakar	Kedougou
KGI	Australia/Perth	Kalgoorlie Airport
KGJ	Africa/Blantyre	Karonga
KGL	Africa/Kigali	Kigali International Airport
KGO	Europe/Kiev	Kirovograd
KGS	Europe/Athens	Kos Airport
KHD	Asia/Tehran	Khorramabad
KHH	Asia/Taipei	Kaohsiung International Airport
KHI	Asia/Karachi	Jinnah International Airport
KHJ	Europe/Helsinki	Kauhajoki
KHK	Asia/Tehran	Khark Island
KHM	Asia/Rangoon	Khamti
KHN	Asia/Shanghai	Nanchang Changbei International Airport
IPN	America/Sao_Paulo	Usiminas Airport
IPT	America/New_York	Lycoming County Airport
IPU	America/Bahia	Ipiau
IPW	Europe/London	Ipswich
KHR	Asia/Ulaanbaatar	Kharkhorin
KHU	Europe/Kiev	Kremenchug
KHT	Asia/Kabul	Khost
IPZ	America/Costa_Rica	San Isidro de El General Airport
KIC	America/Los_Angeles	Mesa Del Rey
KHX	Africa/Kampala	Savannah Airstrip
KIE	Pacific/Port_Moresby	Aropa
IQN	Asia/Shanghai	Qingyang Airport
KIS	Africa/Nairobi	Kisumu Airport
IQQ	America/Santiago	Diego Aracena International Airport
KIG	Africa/Johannesburg	Koinghaas
KIT	Europe/Athens	Kithira Airport
KIX	Asia/Tokyo	Kansai International Airport
KIK	Asia/Baghdad	Kirkuk
KIL	Africa/Lubumbashi	Kilwa
KJT	Asia/Jakarta	Kertajati International Airport
KIO	Pacific/Majuro	Kili Island
IQT	America/Lima	C.F. Secada Vignetta International Airport
IRB	America/Chicago	Municipal
IRC	America/Anchorage	Circle City
KIU	Africa/Nairobi	Kiunga
IRD	Asia/Dhaka	Ishurdi
KIW	Africa/Lusaka	Southdowns
IRE	America/Bahia	Irece
KJA	Asia/Krasnoyarsk	Yemelyanovo Airport
IRI	Africa/Dar_es_Salaam	Nduli Airport
KJI	Asia/Shanghai	Kanasi Airport
IRJ	America/Argentina/La_Rioja	La Rioja Airport
KJP	Asia/Tokyo	Kerama
IRK	America/Chicago	Kirksville Municipal Airport
KJX	Asia/Jakarta	Blangpidie Airport
IRM	Asia/Yekaterinburg	Igrim
IRN	America/Tegucigalpa	Iriona
KHS	Asia/Muscat	Khasab Airport
KHV	Asia/Vladivostok	Khabarovsk Airport
KHY	Asia/Tehran	Khoy
KID	Europe/Stockholm	Kristianstad Airport
KIH	Asia/Tehran	Kish International Airport
KIJ	Asia/Tokyo	Niigata Airport
KIM	Africa/Johannesburg	Kimberley Airport
KIR	Europe/Dublin	Kerry County Airport
KIV	Europe/Chisinau	Chisinau International Airport
KJH	Asia/Shanghai	Kaili Huangping Airport
KJK	Europe/Brussels	Kortrijk
KKC	Asia/Bangkok	Khon Kaen Airport
KKE	Pacific/Auckland	Kerikeri Airport
IRO	Africa/Bangui	Birao
IRP	Africa/Lubumbashi	Matari
IRS	America/Detroit	Kirsch Municipal
KKJ	Asia/Tokyo	Kitakyushu Airport
KKM	Asia/Bangkok	Lop Buri
KKN	Europe/Oslo	Kirkenes Airport Hoeybuktmoen
KKO	Pacific/Auckland	Kaikohe
KKS	Asia/Tehran	Kashan Airport
KKT	America/Chicago	Kentland
IRU	Asia/Colombo	Iranamadu SPB
IRZ	America/Manaus	Tapuruquara
KLC	Africa/Dakar	Kaolack
KLD	Europe/Moscow	Migalovo
ISB	Asia/Karachi	Islamabad International Airport
KLF	Europe/Moscow	Grabtsevo Airport
KLO	Asia/Manila	Kalibo International Airport
KLH	Asia/Kolkata	Kolhapur
KLU	Europe/Vienna	Klagenfurt Airport
KLJ	Europe/Vilnius	Klaipeda
KLV	Europe/Prague	Karlovy Vary Airport
KLX	Europe/Athens	Kalamata Airport
ISC	Europe/London	St Marys
KME	Africa/Kigali	Kamembe
KMG	Asia/Shanghai	Kunming Changshui International Airport
KMI	Asia/Tokyo	Miyazaki Airport
KLQ	Asia/Jakarta	Keluang
KLR	Europe/Stockholm	Kalmar Oland Airport
KMJ	Asia/Tokyo	Kumamoto Airport
KLT	Europe/Berlin	Kaiserslautern
KKY	Europe/Dublin	Kilkenny
KKZ	Asia/Phnom_Penh	Koh Kong
KLB	Africa/Lusaka	Kalabo Airport
KLE	Africa/Douala	Kaele
KLM	Asia/Tehran	Kalaleh
ISD	America/Bogota	Iscuande
KLZ	Africa/Johannesburg	Kleinzee
ISE	Europe/Istanbul	Isparta Suleyman Demirel Airport
KMC	Asia/Riyadh	King Khalid Military
ISG	Asia/Tokyo	Painushima Ishigaki Airport
ISH	Europe/Rome	Ischia Airport
ISJ	America/Cancun	Isla Mujeres
KMH	Africa/Johannesburg	Kuruman
ISK	Asia/Kolkata	Gandhinagar Airport
ISM	America/New_York	Kissimmee Gateway
ISO	America/New_York	Stallings Field
ISP	America/New_York	Long Island MacArthur Airport
ISQ	America/Detroit	Schoolcraft County
ISS	America/New_York	Wiscasset
IST	Europe/Istanbul	Istanbul New Airport
ISU	Asia/Baghdad	Sulaimaniyah International Airport
KMN	Africa/Lubumbashi	Kamina
KMP	Africa/Windhoek	J.G.H. Van Der Wath
KMQ	Asia/Tokyo	Komatsu Airport
KMS	Africa/Accra	Kumasi Airport
KMT	Asia/Phnom_Penh	Kampot
KMU	Africa/Mogadishu	Kismayu
KMV	Asia/Rangoon	Kalemyo Airport
KMW	Europe/Moscow	Sokerkino
KMX	Asia/Riyadh	Khamis Mushait
KMZ	Africa/Lusaka	Kaoma
KNA	America/Santiago	Vina del Mar
ISW	America/Chicago	Alexander Field
KNF	Europe/London	Marham RAF
KNG	Asia/Jayapura	Kaimana Airport
ITA	America/Manaus	Itacoatiara
KNI	Australia/Perth	Katanning
KNJ	Africa/Brazzaville	Kindamba
KNO	Asia/Jakarta	Kuala Namu International Airport
KNM	Africa/Lubumbashi	Kaniama
KNN	Africa/Conakry	Kankan
KNR	Asia/Tehran	Jam
KNS	Australia/Currie	King Island Airport
KNQ	Pacific/Noumea	Kone
KNZ	Africa/Bamako	Kenieba
KNB	America/Denver	Kanab
KNT	America/Chicago	Municipal
ITB	America/Santarem	Itaituba
KNH	Asia/Taipei	Kinmen Airport
KNU	Asia/Kolkata	Kanpur Airport
KOO	Africa/Lubumbashi	Kongolo
ITE	America/Bahia	Itubera
ITH	America/New_York	Ithaca Tompkins Regional Airport
ITK	Pacific/Port_Moresby	Itokama
KOC	Pacific/Noumea	Koumac
KOD	Asia/Makassar	Kotabangun
ITM	Asia/Tokyo	Itami Airport
ITN	America/Bahia	Itabuna
KOG	Asia/Vientiane	Khong
ITR	America/Sao_Paulo	Hidroeletrica
ITU	Asia/Srednekolymsk	Iturup
IUE	Pacific/Niue	Hanan Airport
IUL	Asia/Jayapura	Ilu
IUS	Pacific/Port_Moresby	Inus
IVA	Indian/Antananarivo	Ambanja
KON	Asia/Ho_Chi_Minh	Kontum
IVC	Pacific/Auckland	Invercargill Airport
IVG	Europe/Podgorica	Ivangrad
IVH	America/Anchorage	Ivishak
IVI	America/Panama	Isla Viveros
IVL	Europe/Helsinki	Ivalo Airport
IVO	America/Bogota	Chivolo
IVR	Australia/Sydney	Inverell
IWA	Europe/Moscow	Ivanovo Yuzhny Airport
IWD	America/Menominee	Gogebic County Airport
KOQ	Europe/Berlin	Koethen
KOS	Asia/Phnom_Penh	Sihanouk International Airport
KOU	Africa/Libreville	Koulamoutou
KOV	Asia/Almaty	Kokshetau Airport
KOW	Asia/Shanghai	Ganzhou Airport
KPD	America/New_York	King Of Prussia
KPO	Asia/Seoul	Pohang Airport
KPS	Australia/Sydney	Kempsey
KPT	America/Los_Angeles	Jackpot
KPW	Asia/Kamchatka	Keperveyem Airport
KQH	Asia/Kolkata	Kishangarh Airport
KQT	Asia/Dushanbe	Qurghonteppa International Airport
KRF	Europe/Stockholm	Kramfors Airport
KRN	Europe/Stockholm	Kiruna Airport
IWJ	Asia/Tokyo	Hagi-Iwami Airport
IWK	Asia/Tokyo	Iwakuni Kintaikyo Airport
IXG	Asia/Kolkata	Belgaum Airport
IXL	Asia/Kolkata	Leh Airport
IXN	Asia/Kolkata	Khowai
IXP	Asia/Kolkata	Pathankot
IXQ	Asia/Kolkata	Kamalpur
IXS	Asia/Kolkata	Kumbhirgram Airport
IXT	Asia/Kolkata	Pasighat
IXV	Asia/Kolkata	Along
IXX	Asia/Kolkata	Bidar Air Force Station
IYK	America/Los_Angeles	Kern County
IZA	America/Sao_Paulo	Zona da Mata Regional Airport
IZE	Europe/Berlin	Itzehoe/Hungriger Wolf Airport
IZO	Asia/Tokyo	Izumo Airport
IZT	America/Mexico_City	Ixtepec
KRC	Asia/Jakarta	Kerinci
JAA	Asia/Kabul	Jalalabad
KRE	Africa/Bujumbura	Kirundo
JAC	America/Denver	Jackson Hole Airport
JAD	Australia/Perth	Jandakot
JAF	Asia/Colombo	Kankesanturai
JAG	Asia/Karachi	Jacobabad
KRK	Europe/Warsaw	J. Paul II International Airport Krakow-Balice
KRL	Asia/Shanghai	Korla Airport
JAI	Asia/Kolkata	Jaipur Airport
JAJ	America/New_York	Perimeter Mall
JAK	America/Port-au-Prince	Jacmel Regional Airport
JAL	America/Mexico_City	Jalapa
JAM	Europe/Sofia	Jambol
JAN	America/Chicago	Jackson-Evers International Airport
JAO	America/New_York	Beaver Ruin
JAP	America/Costa_Rica	Punta Renes
JAR	Asia/Tehran	Jahrom
JAU	America/Lima	Jauja Airport
KRO	Asia/Yekaterinburg	Kurgan Airport
