UGL	Antarctica/South_Pole	Union Glacier Blue-Ice Runway
ATA	America/Lima	Anta
ATT	America/Nome	Atmautluak Airport
AUE	Africa/Cairo	Abu Rudeis
AUW	America/Chicago	Municipal
AUZ	America/Chicago	Municipal Airport
AVI	America/Havana	Maximo Gomez
HEL	Europe/Helsinki	Helsinki-Vantaa Airport
JGC	America/Phoenix	Heliport
YDS	America/Vancouver	Desolation Sound
BRR	Europe/London	North Bay Airport
AED	America/Anchorage	Aleneva
YCJ	America/Vancouver	Cape St James
YDK	America/Toronto	Main Duck Island
LLW	Africa/Blantyre	Lilongwe International Airport
ONN	America/Anchorage	Onion Bay
PNS	America/Chicago	Pensacola International Airport
PBA	America/Anchorage	Point Barrow
CWO	America/Chicago	Ft Wolter AAF
YMR	America/Vancouver	Merry Island
JRE	America/New_York	East 60th Street Heliport
YNK	America/Vancouver	Nootka Sound
TEK	America/Anchorage	Tatitlek
LPL	Europe/London	Liverpool John Lennon Airport
LPP	Europe/Helsinki	Lappeenranta
AGM	America/Godthab	Tasiilaq
ATD	Pacific/Guadalcanal	Atoifi
AVK	Asia/Ulaanbaatar	Arvaikheer
AVN	Europe/Paris	Avignon-Caumont Airport
AYY	Asia/Colombo	Arugam Bay SPB
LPQ	Asia/Vientiane	Luang Prabang International Airport
SJX	America/Belize	Sartaneja
SAH	Asia/Aden	Sana'a International Airport
DGB	America/Anchorage	Danger Bay
FIV	America/Juneau	Five Finger
FRP	America/Juneau	Fresh Water Bay
SAL	America/El_Salvador	El Salvador International Airport
SAN	America/Los_Angeles	San Diego International Airport
CDZ	Europe/Madrid	Cadiz
AUB	America/Cuiaba	Itauba Airport
LPU	Asia/Makassar	Long Apung
PGP	Africa/Sao_Tome	Porto Alegre
PID	America/Nassau	Paradise Island
LIJ	America/Sitka	Long Island
PII	America/Anchorage	Phillips Field
SLZ	America/Fortaleza	Marechal Cunha Machado International Airport
SMF	America/Los_Angeles	Sacramento International Airport
LRA	Europe/Athens	Larisa
LLU	America/Godthab	Alluitsup Paa
QNY	America/New_York	Marine Air Terminal
LRD	America/Chicago	Laredo International Airport
SMS	Indian/Antananarivo	Sainte Marie
AUV	Pacific/Port_Moresby	Aumo
AVO	America/New_York	Municipal
AVV	Australia/Melbourne	Avalon Airport
AWR	Pacific/Port_Moresby	Awar
AWZ	Asia/Tehran	Ahwaz Airport
DOF	America/Sitka	Dora Bay
EMB	America/Los_Angeles	Embarkadero
SZC	America/Costa_Rica	Guanacaste
EWD	America/Anchorage	Wildman Lake
HBC	America/Sitka	Hanus Bay
SOO	Europe/Stockholm	Helsinge Airport
SOE	Africa/Brazzaville	Souanke
STL	America/Chicago	Lambert-St. Louis International Airport
STP	America/Chicago	St. Paul Downtown Airport
STT	America/St_Thomas	Cyril E. King Airport
STV	Asia/Kolkata	Surat Gujarat Airport
STX	America/St_Thomas	Henry E. Rohlsen Airport
SUB	Asia/Jakarta	Juanda International Airport
SUE	America/Chicago	Door County
SUF	Europe/Rome	Lamezia Terme International Airport
SUG	Asia/Manila	Surigao Airport
SXL	Europe/Dublin	Sligo
CIB	America/Los_Angeles	Ap In The Sky
TON	Pacific/Port_Moresby	Tonu
YNX	America/Yellowknife	Snap Lake
DDG	Asia/Shanghai	Langtou Airport
DEI	Indian/Mahe	Denis Island
BAM	America/Los_Angeles	Lander County
PRF	America/Anchorage	Port Johnson
SKS	Europe/Copenhagen	Vojens
PTL	America/Anchorage	Port Armstrong
PVY	America/Anchorage	Pope Vanoy
SSW	America/Los_Angeles	Stuart Island
TNK	America/Anchorage	Tununak
LYN	Europe/Paris	Bron
LYP	Asia/Karachi	Faisalabad Airport
SZF	Europe/Istanbul	Samsun-Carsamba Airport
SZN	America/Los_Angeles	Santa Cruz Island
SZX	Asia/Shanghai	Shenzhen Bao'an International Airport
LYS	Europe/Paris	Lyon Saint-Exupery International Airport
AJN	Indian/Comoro	Ouani
AKM	Africa/Ndjamena	Zakouma
AXD	Europe/Athens	Demokritos Airport
AYX	America/Lima	Gerardo Pérez Pinedo
AZJ	Asia/Shanghai	Zhenjiang Dalu
AZN	Asia/Tashkent	Andizhan Airport
AZO	America/Detroit	Kalamazoo Battle Creek International Airport
BAI	America/Costa_Rica	Buenos Aires
SVP	Africa/Luanda	Kuito (Silva Porto)
SWD	America/Anchorage	Seward
SYH	Asia/Kathmandu	Syangboche
SYI	America/Chicago	Bomar Field
SYJ	Asia/Tehran	Sirjan
SYM	Asia/Shanghai	Pu'er Simao Airport
DGF	America/Vancouver	Douglas Lake
BBY	Africa/Bangui	Bambari
BKA	Europe/Moscow	Bykovo
PNF	America/Anchorage	Peterson's Point
FAQ	Pacific/Port_Moresby	Freida River
QSG	Europe/Copenhagen	Sonderborg
RLA	America/Chicago	National
SXC	America/Los_Angeles	Avalo Vor/WP
GLV	America/Nome	Golovin Airport
LZO	Asia/Shanghai	Luzhou Lantian Airport
GST	America/Juneau	Gustavus Airport
LZY	Asia/Shanghai	Nyingchi Mainling Airport
MBJ	America/Jamaica	Sangster International Airport
MBL	America/Detroit	Blacker Airport
MBO	Asia/Manila	Mamburao
BZS	America/New_York	Buzzards Pt S
BAO	Asia/Bangkok	Udorn
BAQ	America/Bogota	E Cortissoz Airport
BAT	America/Sao_Paulo	Airport Chafei Amsei
BBJ	Europe/Berlin	Bitburg Air Base
BBP	Europe/London	Bembridge
BBQ	America/Antigua	Barbuda
BBW	America/Chicago	Broken Bow
BBX	America/New_York	Wings Field
BCA	America/Havana	Baracoa
BCD	Asia/Manila	Bacolod-Silay International Airport
BCF	Africa/Bangui	Bouca
BCV	America/Belize	Belmopan
BDG	America/Denver	Blanding
HIS	Australia/Lindeman	Hayman Island
BFW	Africa/Algiers	Sidi Belabbes
RWB	America/Anchorage	Rowan Bay
MSB	America/Marigot	Marigot SPB
MWP	Asia/Kathmandu	Mountain
LYB	America/Cayman	Little Cayman Airport
LYC	Europe/Stockholm	Lycksele Airport
LYO	America/Chicago	Lyons-Rice County Municipal
LYH	America/New_York	Preston-Glenn Field
MAA	Asia/Kolkata	Chennai Airport
KFP	America/Nome	False Pass
KKA	America/Anchorage	Koyuk Airport
BGP	Africa/Libreville	Bongo
HCR	America/Anchorage	Holy Cross Airport
OCI	America/Anchorage	Oceanic
UQE	America/Anchorage	Queen
OHC	America/Anchorage	AFS
SCJ	America/Anchorage	Smith Cove
CFA	America/Anchorage	Coffee Point
KTN	America/Sitka	Ketchikan International Airport
KAL	America/Anchorage	Kaltag Airport
